fid, lbr_frc_stat, p, sa4_code_2016, sa4_name_2016, state_name_abbr
3,"Unemployed Total",8000,"102","Central Coast","NSW"
7,"Unemployed Total",7100,"115","Sydney - Baulkham Hills and Hawkesbury","NSW"
11,"Unemployed Total",13900,"116","Sydney - Blacktown","NSW"
15,"Unemployed Total",13800,"117","Sydney - City and Inner South","NSW"
19,"Unemployed Total",6500,"118","Sydney - Eastern Suburbs","NSW"
23,"Unemployed Total",21700,"119","Sydney - Inner South West","NSW"
27,"Unemployed Total",8400,"120","Sydney - Inner West","NSW"
31,"Unemployed Total",9100,"121","Sydney - North Sydney and Hornsby","NSW"
35,"Unemployed Total",5300,"122","Sydney - Northern Beaches","NSW"
39,"Unemployed Total",8000,"123","Sydney - Outer South West","NSW"
43,"Unemployed Total",7900,"124","Sydney - Outer West and Blue Mountains","NSW"
47,"Unemployed Total",18000,"125","Sydney - Parramatta","NSW"
51,"Unemployed Total",5400,"126","Sydney - Ryde","NSW"
55,"Unemployed Total",17900,"127","Sydney - South West","NSW"
59,"Unemployed Total",4100,"128","Sydney - Sutherland","NSW"
63,"Unemployed Total",6500,"101","Capital Region","NSW"
67,"Unemployed Total",2700,"103","Central West","NSW"
71,"Unemployed Total",2300,"104","Coffs Harbour - Grafton","NSW"
75,"Unemployed Total",2800,"105","Far West and Orana","NSW"
79,"Unemployed Total",5600,"106","Hunter Valley exc Newcastle","NSW"
83,"Unemployed Total",8800,"107","Illawarra","NSW"
87,"Unemployed Total",4600,"108","Mid North Coast","NSW"
91,"Unemployed Total",3500,"109","Murray","NSW"
95,"Unemployed Total",4500,"110","New England and North West","NSW"
99,"Unemployed Total",9100,"111","Newcastle and Lake Macquarie","NSW"
103,"Unemployed Total",5600,"112","Richmond - Tweed","NSW"
107,"Unemployed Total",1700,"113","Riverina","NSW"
111,"Unemployed Total",4800,"114","Southern Highlands and Shoalhaven","NSW"
115,"Unemployed Total",24800,"206","Melbourne - Inner","VIC"
119,"Unemployed Total",13200,"207","Melbourne - Inner East","VIC"
123,"Unemployed Total",8400,"208","Melbourne - Inner South","VIC"
127,"Unemployed Total",15300,"209","Melbourne - North East","VIC"
131,"Unemployed Total",15300,"210","Melbourne - North West","VIC"
135,"Unemployed Total",11000,"211","Melbourne - Outer East","VIC"
139,"Unemployed Total",28500,"212","Melbourne - South East","VIC"
143,"Unemployed Total",29800,"213","Melbourne - West","VIC"
147,"Unemployed Total",7000,"214","Mornington Peninsula","VIC"
151,"Unemployed Total",3500,"201","Ballarat","VIC"
155,"Unemployed Total",3300,"202","Bendigo","VIC"
159,"Unemployed Total",5300,"203","Geelong","VIC"
163,"Unemployed Total",3000,"204","Hume","VIC"
167,"Unemployed Total",7500,"205","Latrobe - Gippsland","VIC"
171,"Unemployed Total",2200,"215","North West","VIC"
175,"Unemployed Total",1500,"216","Shepparton","VIC"
179,"Unemployed Total",2700,"217","Warrnambool and South West","VIC"
183,"Unemployed Total",5200,"301","Brisbane - East","QLD"
187,"Unemployed Total",5700,"302","Brisbane - North","QLD"
191,"Unemployed Total",14400,"303","Brisbane - South","QLD"
195,"Unemployed Total",5300,"304","Brisbane - West","QLD"
199,"Unemployed Total",7400,"305","Brisbane Inner City","QLD"
203,"Unemployed Total",15500,"310","Ipswich","QLD"
207,"Unemployed Total",15800,"311","Logan - Beaudesert","QLD"
211,"Unemployed Total",6500,"313","Moreton Bay - North","QLD"
215,"Unemployed Total",7100,"314","Moreton Bay - South","QLD"
219,"Unemployed Total",6900,"306","Cairns","QLD"
223,"Unemployed Total",4800,"307","Darling Downs - Maranoa","QLD"
227,"Unemployed Total",6300,"308","Central Queensland","QLD"
231,"Unemployed Total",18600,"309","Gold Coast","QLD"
235,"Unemployed Total",2400,"312","Mackay - Isaac - Whitsunday","QLD"
239,"Unemployed Total",4500,"315","Queensland - Outback","QLD"
243,"Unemployed Total",8800,"316","Sunshine Coast","QLD"
247,"Unemployed Total",3300,"317","Toowoomba","QLD"
251,"Unemployed Total",5600,"318","Townsville","QLD"
255,"Unemployed Total",9300,"319","Wide Bay","QLD"
259,"Unemployed Total",7400,"401","Adelaide - Central and Hills","SA"
263,"Unemployed Total",15300,"402","Adelaide - North","SA"
267,"Unemployed Total",11300,"403","Adelaide - South","SA"
271,"Unemployed Total",6200,"404","Adelaide - West","SA"
275,"Unemployed Total",3000,"405","Barossa - Yorke - Mid North","SA"
279,"Unemployed Total",3200,"406","South Australia - Outback","SA"
283,"Unemployed Total",3700,"407","South Australia - South East","SA"
287,"Unemployed Total",2700,"502","Mandurah","WA"
291,"Unemployed Total",4900,"503","Perth - Inner","WA"
295,"Unemployed Total",6400,"504","Perth - North East","WA"
299,"Unemployed Total",14600,"505","Perth - North West","WA"
303,"Unemployed Total",16800,"506","Perth - South East","WA"
307,"Unemployed Total",12400,"507","Perth - South West","WA"
311,"Unemployed Total",4600,"501","Bunbury","WA"
315,"Unemployed Total",2700,"509","Western Australia - Wheat Belt","WA"
319,"Unemployed Total",6100,"601","Hobart","TAS"
323,"Unemployed Total",4000,"602","Launceston and North East","TAS"
327,"Unemployed Total",900,"603","South East","TAS"
331,"Unemployed Total",3400,"604","West and North West","TAS"
335,"Unemployed Total",3300,"701","Darwin","NT"
339,"Unemployed Total",2800,"702","Northern Territory - Outback","NT"
